TrialType,Top,Left,Right,EmptyFrame,SelectedFrame,Correct,Emotion,Gender,TrialLength,FixationLength,n,GCFaceStartTime_mean,GCFaceStartTime_raw,GCFaceStartTime_std,GCPostFaceFixationEndTime_mean,GCPostFaceFixationEndTime_raw,GCPostFaceFixationEndTime_std,GCPostFaceFixationStartTime_mean,GCPostFaceFixationStartTime_raw,GCPostFaceFixationStartTime_std,key_resp_trial.corr_mean,key_resp_trial.corr_raw,key_resp_trial.corr_std,key_resp_trial.keys_raw,key_resp_trial.rt_mean,key_resp_trial.rt_raw,key_resp_trial.rt_std,order
MatchFaces,stimuli/MatchFaces.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFrame.bmp,stimuli/EmptyFrame.bmp,Null,None,None,3,1,1.0,15.333782196044922,15.333782196044922,0.0,19.052244186401367,19.052244186401367,0.0,18.070070266723633,18.070070266723633,0.0,0.0,0.0,0.0,,,,,0.0
Fear,stimuli/23M_FE_O.BMP,stimuli/23M_FE_O.BMP,stimuli/24M_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Fear,Male,3,1,1.0,19.29833984375,19.29833984375,0.0,23.068058013916016,23.068058013916016,0.0,22.082056045532227,22.082056045532227,0.0,1.0,1.0,0.0,'1',0.9826115965843201,0.9826115965843201,0.0,1.0
Fear,stimuli/19F_FE_O.BMP,stimuli/18F_FE_O.BMP,stimuli/19F_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Fear,Female,3,1,1.0,23.089170455932617,23.089170455932617,0.0,27.079378128051758,27.079378128051758,0.0,26.094276428222656,26.094276428222656,0.0,1.0,1.0,0.0,'2',0.9935094118118286,0.9935094118118286,0.0,2.0
Fear,stimuli/17F_FE_O.BMP,stimuli/17F_FE_O.BMP,stimuli/16F_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Fear,Female,3,1,1.0,27.10234260559082,27.10234260559082,0.0,31.105775833129883,31.105775833129883,0.0,30.109359741210938,30.109359741210938,0.0,1.0,1.0,0.0,'1',0.6338750720024109,0.6338750720024109,0.0,3.0
Fear,stimuli/21M_FE_O.BMP,stimuli/21M_FE_O.BMP,stimuli/22M_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Fear,Male,3,1,1.0,31.154504776000977,31.154504776000977,0.0,35.12547302246094,35.12547302246094,0.0,34.1439208984375,34.1439208984375,0.0,1.0,1.0,0.0,'1',0.7990142107009888,0.7990142107009888,0.0,4.0
Fear,stimuli/09F_FE_O.BMP,stimuli/07F_FE_O.BMP,stimuli/09F_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Fear,Female,3,1,1.0,35.1524543762207,35.1524543762207,0.0,39.1422119140625,39.1422119140625,0.0,38.159732818603516,38.159732818603516,0.0,1.0,1.0,0.0,'2',0.8823441863059998,0.8823441863059998,0.0,5.0
Fear,stimuli/08F_FE_O.BMP,stimuli/13F_FE_O.BMP,stimuli/08F_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Fear,Female,3,1,1.0,39.1744270324707,39.1744270324707,0.0,43.16520690917969,43.16520690917969,0.0,42.17671203613281,42.17671203613281,0.0,1.0,1.0,0.0,'2',0.7433227896690369,0.7433227896690369,0.0,6.0
Fear,stimuli/07F_FE_O.BMP,stimuli/07F_FE_O.BMP,stimuli/14F_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Fear,Female,3,1,1.0,43.195274353027344,43.195274353027344,0.0,47.18919372558594,47.18919372558594,0.0,46.197959899902344,46.197959899902344,0.0,1.0,1.0,0.0,'1',0.6097496747970581,0.6097496747970581,0.0,7.0
Fear,stimuli/26M_FE_O.BMP,stimuli/26M_FE_O.BMP,stimuli/28M_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Fear,Male,3,1,1.0,47.212791442871094,47.212791442871094,0.0,51.205162048339844,51.205162048339844,0.0,50.229331970214844,50.229331970214844,0.0,1.0,1.0,0.0,'1',0.6270920038223267,0.6270920038223267,0.0,8.0
Fear,stimuli/10F_FE_O.BMP,stimuli/11F_FE_O.BMP,stimuli/10F_FE_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Fear,Female,3,1,1.0,51.22852325439453,51.22852325439453,0.0,55.2231330871582,55.2231330871582,0.0,54.246524810791016,54.246524810791016,0.0,1.0,1.0,0.0,'2',0.6386218070983887,0.6386218070983887,0.0,9.0
