TrialType,Top,Left,Right,EmptyFrame,SelectedFrame,Correct,Emotion,Gender,TrialLength,FixationLength,n,GCFaceStartTime_mean,GCFaceStartTime_raw,GCFaceStartTime_std,GCPostFaceFixationEndTime_mean,GCPostFaceFixationEndTime_raw,GCPostFaceFixationEndTime_std,GCPostFaceFixationStartTime_mean,GCPostFaceFixationStartTime_raw,GCPostFaceFixationStartTime_std,key_resp_trial.corr_mean,key_resp_trial.corr_raw,key_resp_trial.corr_std,key_resp_trial.keys_raw,key_resp_trial.rt_mean,key_resp_trial.rt_raw,key_resp_trial.rt_std,order
MatchFaces,stimuli/MatchFaces.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFrame.bmp,stimuli/EmptyFrame.bmp,Null,None,None,3,1,1.0,15.260735511779785,15.260735511779785,0.0,19.06378746032715,19.06378746032715,0.0,18.064441680908203,18.064441680908203,0.0,0.0,0.0,0.0,,,,,0.0
Anger,stimuli/01F_AN_O.bmp,stimuli/19F_AN_O.BMP,stimuli/01F_AN_O.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,1.0,19.22626495361328,19.22626495361328,0.0,23.08413314819336,23.08413314819336,0.0,22.094316482543945,22.094316482543945,0.0,1.0,1.0,0.0,'2',0.8285145163536072,0.8285145163536072,0.0,1.0
Anger,stimuli/02f_an_o.bmp,stimuli/18F_AN_O.BMP,stimuli/02f_an_o.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,1.0,23.11537742614746,23.11537742614746,0.0,27.09478187561035,27.09478187561035,0.0,26.12908172607422,26.12908172607422,0.0,1.0,1.0,0.0,'2',0.9134165048599243,0.9134165048599243,0.0,2.0
Anger,stimuli/20M_AN_O.BMP,stimuli/34M_AN_O.BMP,stimuli/20M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Male,3,1,1.0,27.1278018951416,27.1278018951416,0.0,31.110530853271484,31.110530853271484,0.0,30.131126403808594,30.131126403808594,0.0,1.0,1.0,0.0,'2',0.929705798625946,0.929705798625946,0.0,3.0
Anger,stimuli/03F_AN_O.bmp,stimuli/03F_AN_O.bmp,stimuli/17F_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Female,3,1,1.0,31.142024993896484,31.142024993896484,0.0,35.12001419067383,35.12001419067383,0.0,34.14805221557617,34.14805221557617,0.0,1.0,1.0,0.0,'1',0.8250972032546997,0.8250972032546997,0.0,4.0
Anger,stimuli/21M_AN_O.BMP,stimuli/21M_AN_O.BMP,stimuli/33M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,1.0,35.1524543762207,35.1524543762207,0.0,39.13492202758789,39.13492202758789,0.0,38.15814971923828,38.15814971923828,0.0,1.0,1.0,0.0,'1',0.8458178043365479,0.8458178043365479,0.0,5.0
Anger,stimuli/22M_AN_O.BMP,stimuli/32M_AN_O.BMP,stimuli/22M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Male,3,1,1.0,39.16265869140625,39.16265869140625,0.0,43.148101806640625,43.148101806640625,0.0,42.16901397705078,42.16901397705078,0.0,1.0,1.0,0.0,'2',0.6213417053222656,0.6213417053222656,0.0,6.0
Anger,stimuli/23M_AN_O.BMP,stimuli/23M_AN_O.BMP,stimuli/31M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,1.0,43.177860260009766,43.177860260009766,0.0,47.16402053833008,47.16402053833008,0.0,46.17278289794922,46.17278289794922,0.0,1.0,1.0,0.0,'1',0.8679664731025696,0.8679664731025696,0.0,7.0
Anger,stimuli/05F_AN_O.bmp,stimuli/05F_AN_O.bmp,stimuli/16F_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Female,3,1,1.0,47.19865036010742,47.19865036010742,0.0,51.17966079711914,51.17966079711914,0.0,50.19306182861328,50.19306182861328,0.0,1.0,1.0,0.0,'1',0.6275867223739624,0.6275867223739624,0.0,8.0
Anger,stimuli/06F_AN_O.bmp,stimuli/15F_AN_O.BMP,stimuli/06F_AN_O.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,1.0,51.208396911621094,51.208396911621094,0.0,55.1990966796875,55.1990966796875,0.0,54.201133728027344,54.201133728027344,0.0,1.0,1.0,0.0,'2',0.6535528898239136,0.6535528898239136,0.0,9.0
Anger,stimuli/24M_AN_O.BMP,stimuli/24M_AN_O.BMP,stimuli/30M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,1.0,55.23318862915039,55.23318862915039,0.0,59.21186065673828,59.21186065673828,0.0,58.23036575317383,58.23036575317383,0.0,1.0,1.0,0.0,'1',0.7071264982223511,0.7071264982223511,0.0,10.0
